t01,exxEng01AVG,StressEng01AVG,eyyEng01AVG,0,exxHencky01SOI,StressTrue01AVG,SR0Hencky1AVG,eyyHencky01AVG,t02,exxEng02AVG,StressEng02AVG,eyyEng02AVG,0,exxHencky02SOI,StressTrue02AVG,SR0Hencky2AVG,eyyHencky02AVG,t03,exxEng03AVG,StressEng03AVG,eyyEng03AVG,0,exxHencky03SOI,StressTrue03AVG,SR0Hencky3AVG,eyyHencky03AVG
5.4023,0.00509489276,6.04345833,-0.0021421309,0,5.4023,0.005100251,6.07424911,0.00122729,5.402,0.00522856921,6.333375,-0.00238806631,0,5.402,0.00522711701,6.36648949,0.000918514,5.4358,0.00524530627,6.24870833,-0.00214121349,0,5.4358,0.00523059535,6.28148472,0.00114144
5.6036,0.00531978276,6.27308333,-0.0021052009,0,5.6036,0.005323661,6.30645477,0.000870605,5.604,0.00546074921,6.56420833,-0.00239571631,0,5.604,0.00545378701,6.60005383,0.00105637,5.6371,0.00545092627,6.474125,-0.00221080349,0,5.6371,0.00543563535,6.50941498,0.000968133
5.8049,0.00544907276,6.502125,-0.0023050609,0,5.8049,0.005450751,6.53755555,0.000970152,5.805,0.00566025921,6.79329167,-0.00249325631,0,5.805,0.00565241701,6.83174346,0.00104268,5.8384,0.00563508627,6.70033333,-0.00232310349,0,5.8384,0.00562036535,6.73809029,0.00099375
6.0062,0.00571339276,6.72945833,-0.0022015709,0,6.0062,0.005714251,6.76790637,0.00110221,6.006,0.00588300921,7.02116667,-0.00259896631,0,6.006,0.00587366701,7.06247225,0.000954316,6.0397,0.00585332627,6.924,-0.00232285349,0,6.0397,0.00583571535,6.96452843,0.00107085
6.2076,0.00589463276,6.95675,-0.0024298609,0,6.2076,0.005894611,6.99775749,0.000922497,6.208,0.00604781921,7.24779167,-0.00264710631,0,6.208,0.00603672701,7.291625,0.000972137,6.2411,0.00606990627,7.14620833,-0.00246889349,0,6.2411,0.00605159535,7.18958515,0.00100811
6.4089,0.00608746276,7.180375,-0.0024372709,0,6.4089,0.006085741,7.22408527,0.00114021,6.409,0.00627636921,7.473125,-0.00271749631,0,6.409,0.00626505701,7.52002909,0.00108014,6.4424,0.00626237627,7.36633333,-0.00247680349,0,6.4424,0.00624167535,7.41246408,0.000987237
6.6102,0.00635648276,7.40379167,-0.0026072609,0,6.6102,0.006353661,7.45085374,0.00110546,6.61,0.00648667921,7.69875,-0.00281382631,0,6.61,0.00647169701,7.74868932,0.000953244,6.6437,0.00647005627,7.58525,-0.00263469349,0,6.6437,0.00644905535,7.63432699,0.000913761
6.8116,0.00653416276,7.64920833,-0.0026791909,0,6.8116,0.006530911,7.69918951,0.000849953,6.811,0.00666268921,7.94195833,-0.00284851631,0,6.811,0.00664892701,7.99487313,0.000895565,6.8451,0.00663157627,7.80279167,-0.00261997349,0,6.8451,0.00660964535,7.85453647,0.000945262
7.0129,0.00670414276,7.86979167,-0.0027727009,0,7.0129,0.006695941,7.92255187,0.000934344,7.013,0.00684704921,8.16333333,-0.00296016631,0,7.013,0.00683224701,8.21922808,0.00108972,7.0464,0.00685324627,8.01825,-0.00287826349,0,7.0464,0.00682971535,8.07320104,0.001105
7.2142,0.00691381276,8.08929167,-0.0028265709,0,7.2142,0.006907081,8.14521951,0.00111721,7.181,0.00706875921,8.341,-0.00308419631,0,7.181,0.00705114701,8.39996052,0.00119183,7.2477,0.00708012627,8.23220833,-0.00289602349,0,7.2477,0.00705452535,8.29049341,0.00104677
